pin,slack
Q_cry[4]:B,17514
Q_cry[4]:FCI,17443
Q_cry[4]:FCO,17443
Q_cry[4]:S,17747
q_obuf[21]/U0/U_IOPAD:D,11460
q_obuf[21]/U0/U_IOPAD:E,
q_obuf[21]/U0/U_IOPAD:PAD,11460
Rollover5_16:A,17155
Rollover5_16:B,17071
Rollover5_16:C,17027
Rollover5_16:D,16959
Rollover5_16:Y,16959
q_obuf[19]/U0/U_IOOUTFF:A,11460
q_obuf[19]/U0/U_IOOUTFF:Y,11460
Q_cry[11]:B,17626
Q_cry[11]:FCI,17443
Q_cry[11]:FCO,17443
Q_cry[11]:S,17635
Q_cry[3]:B,17498
Q_cry[3]:FCI,17443
Q_cry[3]:FCO,17443
Q_cry[3]:S,17763
clk_ibuf/U0/U_IOINFF:A,
clk_ibuf/U0/U_IOINFF:Y,
q_obuf[22]/U0/U_IOOUTFF:A,11460
q_obuf[22]/U0/U_IOOUTFF:Y,11460
q_obuf[10]/U0/U_IOPAD:D,11460
q_obuf[10]/U0/U_IOPAD:E,
q_obuf[10]/U0/U_IOPAD:PAD,11460
q_obuf[0]/U0/U_IOPAD:D,11453
q_obuf[0]/U0/U_IOPAD:E,
q_obuf[0]/U0/U_IOPAD:PAD,11453
Q_cry[1]:B,17466
Q_cry[1]:FCI,17443
Q_cry[1]:FCO,17443
Q_cry[1]:S,17802
q_obuf[11]/U0/U_IOOUTFF:A,11460
q_obuf[11]/U0/U_IOOUTFF:Y,11460
Q[14]:ALn,18538
Q[14]:CLK,11460
Q[14]:D,17587
Q[14]:Q,11460
q_obuf[14]/U0/U_IOPAD:D,11460
q_obuf[14]/U0/U_IOPAD:E,
q_obuf[14]/U0/U_IOPAD:PAD,11460
q_obuf[3]/U0/U_IOENFF:A,
q_obuf[3]/U0/U_IOENFF:Y,
q_obuf[1]/U0/U_IOPAD:D,11460
q_obuf[1]/U0/U_IOPAD:E,
q_obuf[1]/U0/U_IOPAD:PAD,11460
Q_cry[12]:B,17642
Q_cry[12]:FCI,17443
Q_cry[12]:FCO,17443
Q_cry[12]:S,17619
q_obuf[8]/U0/U_IOPAD:D,11460
q_obuf[8]/U0/U_IOPAD:E,
q_obuf[8]/U0/U_IOPAD:PAD,11460
Q_cry[18]:B,17738
Q_cry[18]:FCI,17443
Q_cry[18]:FCO,17443
Q_cry[18]:S,17523
TC_obuf/U0/U_IOENFF:A,
TC_obuf/U0/U_IOENFF:Y,
q_obuf[8]/U0/U_IOENFF:A,
q_obuf[8]/U0/U_IOENFF:Y,
q_obuf[2]/U0/U_IOPAD:D,11460
q_obuf[2]/U0/U_IOPAD:E,
q_obuf[2]/U0/U_IOPAD:PAD,11460
q_obuf[4]/U0/U_IOPAD:D,11460
q_obuf[4]/U0/U_IOPAD:E,
q_obuf[4]/U0/U_IOPAD:PAD,11460
q_obuf[5]/U0/U_IOPAD:D,11460
q_obuf[5]/U0/U_IOPAD:E,
q_obuf[5]/U0/U_IOPAD:PAD,11460
Q[9]:ALn,18538
Q[9]:CLK,11460
Q[9]:D,17667
Q[9]:Q,11460
Q_cry[7]:B,17562
Q_cry[7]:FCI,17443
Q_cry[7]:FCO,17443
Q_cry[7]:S,17699
Rollover5:A,16959
Rollover5:B,16868
Rollover5:C,15780
Rollover5:Y,15780
rollover_obuf/U0/U_IOPAD:D,11473
rollover_obuf/U0/U_IOPAD:E,
rollover_obuf/U0/U_IOPAD:PAD,11473
Q_cry[10]:B,17610
Q_cry[10]:FCI,17443
Q_cry[10]:FCO,17443
Q_cry[10]:S,17651
q_obuf[18]/U0/U_IOENFF:A,
q_obuf[18]/U0/U_IOENFF:Y,
q_obuf[4]/U0/U_IOOUTFF:A,11460
q_obuf[4]/U0/U_IOOUTFF:Y,11460
clk_ibuf_RNIVTI2/U0:An,
clk_ibuf_RNIVTI2/U0:YNn,
q_obuf[12]/U0/U_IOPAD:D,11460
q_obuf[12]/U0/U_IOPAD:E,
q_obuf[12]/U0/U_IOPAD:PAD,11460
Q_cry[5]:B,17530
Q_cry[5]:FCI,17443
Q_cry[5]:FCO,17443
Q_cry[5]:S,17731
Rollover5_14:A,16177
Rollover5_14:B,16093
Rollover5_14:C,16049
Rollover5_14:D,15981
Rollover5_14:Y,15981
q_obuf[21]/U0/U_IOOUTFF:A,11460
q_obuf[21]/U0/U_IOOUTFF:Y,11460
Rollover5_13:A,16049
Rollover5_13:B,15965
Rollover5_13:C,15921
Rollover5_13:D,15780
Rollover5_13:Y,15780
q_obuf[7]/U0/U_IOPAD:D,11460
q_obuf[7]/U0/U_IOPAD:E,
q_obuf[7]/U0/U_IOPAD:PAD,11460
