pin,slack
Q_cry[4]:B,17520
Q_cry[4]:FCI,17450
Q_cry[4]:FCO,17450
Q_cry[4]:S,17754
q_obuf[21]/U0/U_IOPAD:D,10467
q_obuf[21]/U0/U_IOPAD:E,
q_obuf[21]/U0/U_IOPAD:PAD,10467
q_obuf[19]/U0/U_IOOUTFF:A,10467
q_obuf[19]/U0/U_IOOUTFF:Y,10467
Q_cry[11]:B,17632
Q_cry[11]:FCI,17450
Q_cry[11]:FCO,17450
Q_cry[11]:S,17642
Q_cry[3]:B,17504
Q_cry[3]:FCI,17450
Q_cry[3]:FCO,17450
Q_cry[3]:S,17770
clk_ibuf/U0/U_IOINFF:A,
clk_ibuf/U0/U_IOINFF:Y,
q_obuf[22]/U0/U_IOOUTFF:A,10467
q_obuf[22]/U0/U_IOOUTFF:Y,10467
q_obuf[10]/U0/U_IOPAD:D,10467
q_obuf[10]/U0/U_IOPAD:E,
q_obuf[10]/U0/U_IOPAD:PAD,10467
q_obuf[0]/U0/U_IOPAD:D,10461
q_obuf[0]/U0/U_IOPAD:E,
q_obuf[0]/U0/U_IOPAD:PAD,10461
Q_cry[1]:B,17472
Q_cry[1]:FCI,17450
Q_cry[1]:FCO,17450
Q_cry[1]:S,17808
q_obuf[11]/U0/U_IOOUTFF:A,10467
q_obuf[11]/U0/U_IOOUTFF:Y,10467
Q[14]:ALn,19528
Q[14]:CLK,10467
Q[14]:D,17594
Q[14]:Q,10467
q_obuf[14]/U0/U_IOPAD:D,10467
q_obuf[14]/U0/U_IOPAD:E,
q_obuf[14]/U0/U_IOPAD:PAD,10467
q_obuf[3]/U0/U_IOENFF:A,
q_obuf[3]/U0/U_IOENFF:Y,
q_obuf[1]/U0/U_IOPAD:D,10467
q_obuf[1]/U0/U_IOPAD:E,
q_obuf[1]/U0/U_IOPAD:PAD,10467
Q_cry[12]:B,17648
Q_cry[12]:FCI,17450
Q_cry[12]:FCO,17450
Q_cry[12]:S,17626
q_obuf[8]/U0/U_IOPAD:D,10467
q_obuf[8]/U0/U_IOPAD:E,
q_obuf[8]/U0/U_IOPAD:PAD,10467
Q_cry[18]:B,17744
Q_cry[18]:FCI,17450
Q_cry[18]:FCO,17450
Q_cry[18]:S,17530
TC_obuf/U0/U_IOENFF:A,
TC_obuf/U0/U_IOENFF:Y,
q_obuf[8]/U0/U_IOENFF:A,
q_obuf[8]/U0/U_IOENFF:Y,
q_obuf[2]/U0/U_IOPAD:D,10467
q_obuf[2]/U0/U_IOPAD:E,
q_obuf[2]/U0/U_IOPAD:PAD,10467
q_obuf[4]/U0/U_IOPAD:D,10467
q_obuf[4]/U0/U_IOPAD:E,
q_obuf[4]/U0/U_IOPAD:PAD,10467
q_obuf[5]/U0/U_IOPAD:D,10467
q_obuf[5]/U0/U_IOPAD:E,
q_obuf[5]/U0/U_IOPAD:PAD,10467
Q[9]:ALn,19528
Q[9]:CLK,10467
Q[9]:D,17674
Q[9]:Q,10467
Q_cry[7]:B,17568
Q_cry[7]:FCI,17450
Q_cry[7]:FCO,17450
Q_cry[7]:S,17706
Q_cry[10]:B,17616
Q_cry[10]:FCI,17450
Q_cry[10]:FCO,17450
Q_cry[10]:S,17658
q_obuf[18]/U0/U_IOENFF:A,
q_obuf[18]/U0/U_IOENFF:Y,
q_obuf[4]/U0/U_IOOUTFF:A,10467
q_obuf[4]/U0/U_IOOUTFF:Y,10467
clk_ibuf_RNIVTI2/U0:An,
clk_ibuf_RNIVTI2/U0:YNn,
q_obuf[12]/U0/U_IOPAD:D,10467
q_obuf[12]/U0/U_IOPAD:E,
q_obuf[12]/U0/U_IOPAD:PAD,10467
Q_cry[5]:B,17536
Q_cry[5]:FCI,17450
Q_cry[5]:FCO,17450
Q_cry[5]:S,17738
q_obuf[21]/U0/U_IOOUTFF:A,10467
q_obuf[21]/U0/U_IOOUTFF:Y,10467
q_obuf[7]/U0/U_IOPAD:D,10467
q_obuf[7]/U0/U_IOPAD:E,
q_obuf[7]/U0/U_IOPAD:PAD,10467
Q[0]:ALn,19528
Q[0]:CLK,10461
Q[0]:D,17974
Q[0]:Q,10461
q_obuf[9]/U0/U_IOPAD:D,10467
q_obuf[9]/U0/U_IOPAD:E,
q_obuf[9]/U0/U_IOPAD:PAD,10467
Q[3]:ALn,19528
Q[3]:CLK,10467
Q[3]:D,17770
Q[3]:Q,10467
Q[21]:ALn,19528
Q[21]:CLK,10467
Q[21]:D,17482
Q[21]:Q,10467
q_obuf[6]/U0/U_IOENFF:A,
q_obuf[6]/U0/U_IOENFF:Y,
Q[18]:ALn,19528
Q[18]:CLK,10467
Q[18]:D,17530
Q[18]:Q,10467
Q[7]:ALn,19528
Q[7]:CLK,10467
Q[7]:D,17706
Q[7]:Q,10467
q_obuf[15]/U0/U_IOENFF:A,
q_obuf[15]/U0/U_IOENFF:Y,
Q[1]:ALn,19528
Q[1]:CLK,10467
Q[1]:D,17808
Q[1]:Q,10467
q_obuf[16]/U0/U_IOENFF:A,
q_obuf[16]/U0/U_IOENFF:Y,
rst_n_ibuf_RNIBNDC/U0_RGB1:An,
rst_n_ibuf_RNIBNDC/U0_RGB1:YL,19528
q_obuf[9]/U0/U_IOENFF:A,
q_obuf[9]/U0/U_IOENFF:Y,
Q_cry[8]:B,17584
Q_cry[8]:FCI,17450
Q_cry[8]:FCO,17450
Q_cry[8]:S,17690
rst_n_ibuf/U0/U_IOPAD:PAD,
rst_n_ibuf/U0/U_IOPAD:Y,
q_obuf[0]/U0/U_IOOUTFF:A,10461
q_obuf[0]/U0/U_IOOUTFF:Y,10461
q_obuf[19]/U0/U_IOENFF:A,
q_obuf[19]/U0/U_IOENFF:Y,
q_obuf[3]/U0/U_IOOUTFF:A,10467
q_obuf[3]/U0/U_IOOUTFF:Y,10467
Q[16]:ALn,19528
Q[16]:CLK,10467
Q[16]:D,17562
Q[16]:Q,10467
q_obuf[13]/U0/U_IOPAD:D,10467
q_obuf[13]/U0/U_IOPAD:E,
q_obuf[13]/U0/U_IOPAD:PAD,10467
Q_s[23]:B,17787
Q_s[23]:FCI,17450
Q_s[23]:S,17450
q_obuf[0]/U0/U_IOENFF:A,
q_obuf[0]/U0/U_IOENFF:Y,
clk_ibuf/U0/U_IOPAD:PAD,
clk_ibuf/U0/U_IOPAD:Y,
q_obuf[21]/U0/U_IOENFF:A,
q_obuf[21]/U0/U_IOENFF:Y,
q_obuf[15]/U0/U_IOOUTFF:A,10467
q_obuf[15]/U0/U_IOOUTFF:Y,10467
q_obuf[4]/U0/U_IOENFF:A,
q_obuf[4]/U0/U_IOENFF:Y,
q_obuf[14]/U0/U_IOENFF:A,
q_obuf[14]/U0/U_IOENFF:Y,
q_obuf[13]/U0/U_IOOUTFF:A,10467
q_obuf[13]/U0/U_IOOUTFF:Y,10467
q_obuf[5]/U0/U_IOENFF:A,
q_obuf[5]/U0/U_IOENFF:Y,
Q_cry[13]:B,17664
Q_cry[13]:FCI,17450
Q_cry[13]:FCO,17450
Q_cry[13]:S,17610
q_obuf[20]/U0/U_IOENFF:A,
q_obuf[20]/U0/U_IOENFF:Y,
Q[11]:ALn,19528
Q[11]:CLK,10467
Q[11]:D,17642
Q[11]:Q,10467
q_obuf[8]/U0/U_IOOUTFF:A,10467
q_obuf[8]/U0/U_IOOUTFF:Y,10467
q_obuf[16]/U0/U_IOPAD:D,10467
q_obuf[16]/U0/U_IOPAD:E,
q_obuf[16]/U0/U_IOPAD:PAD,10467
q_obuf[3]/U0/U_IOPAD:D,10467
q_obuf[3]/U0/U_IOPAD:E,
q_obuf[3]/U0/U_IOPAD:PAD,10467
Q[23]:ALn,19528
Q[23]:CLK,10461
Q[23]:D,17450
Q[23]:Q,10461
q_obuf[2]/U0/U_IOOUTFF:A,10467
q_obuf[2]/U0/U_IOOUTFF:Y,10467
rst_n_ibuf/U0/U_IOINFF:A,
rst_n_ibuf/U0/U_IOINFF:Y,
q_obuf[11]/U0/U_IOPAD:D,10467
q_obuf[11]/U0/U_IOPAD:E,
q_obuf[11]/U0/U_IOPAD:PAD,10467
Q_cry[16]:B,17712
Q_cry[16]:FCI,17450
Q_cry[16]:FCO,17450
Q_cry[16]:S,17562
q_obuf[11]/U0/U_IOENFF:A,
q_obuf[11]/U0/U_IOENFF:Y,
Q[6]:ALn,19528
Q[6]:CLK,10467
Q[6]:D,17722
Q[6]:Q,10467
q_obuf[10]/U0/U_IOENFF:A,
q_obuf[10]/U0/U_IOENFF:Y,
ip_interface_inst:B,
Q_cry[19]:B,17760
Q_cry[19]:FCI,17450
Q_cry[19]:FCO,17450
Q_cry[19]:S,17514
q_obuf[20]/U0/U_IOPAD:D,10467
q_obuf[20]/U0/U_IOPAD:E,
q_obuf[20]/U0/U_IOPAD:PAD,10467
q_obuf[5]/U0/U_IOOUTFF:A,10467
q_obuf[5]/U0/U_IOOUTFF:Y,10467
q_obuf[23]/U0/U_IOOUTFF:A,10461
q_obuf[23]/U0/U_IOOUTFF:Y,10461
q_obuf[1]/U0/U_IOENFF:A,
q_obuf[1]/U0/U_IOENFF:Y,
q_obuf[15]/U0/U_IOPAD:D,10467
q_obuf[15]/U0/U_IOPAD:E,
q_obuf[15]/U0/U_IOPAD:PAD,10467
Q[13]:ALn,19528
Q[13]:CLK,10467
Q[13]:D,17610
Q[13]:Q,10467
Q_cry[21]:B,17792
Q_cry[21]:FCI,17450
Q_cry[21]:FCO,17450
Q_cry[21]:S,17482
Q[17]:ALn,19528
Q[17]:CLK,10467
Q[17]:D,17546
Q[17]:Q,10467
q_obuf[14]/U0/U_IOOUTFF:A,10467
q_obuf[14]/U0/U_IOOUTFF:Y,10467
Q_cry[14]:B,17680
Q_cry[14]:FCI,17450
