pin,slack
Q_cry[4]:B,17080
Q_cry[4]:FCI,16996
Q_cry[4]:FCO,16996
Q_cry[4]:S,17357
q_obuf[21]/U0/U_IOPAD:D,9139
q_obuf[21]/U0/U_IOPAD:E,
q_obuf[21]/U0/U_IOPAD:PAD,9139
q_obuf[19]/U0/U_IOOUTFF:A,9139
q_obuf[19]/U0/U_IOOUTFF:Y,9139
Q_cry[11]:B,17213
Q_cry[11]:FCI,16996
Q_cry[11]:FCO,16996
Q_cry[11]:S,17224
Q_cry[3]:B,17061
Q_cry[3]:FCI,16996
Q_cry[3]:FCO,16996
Q_cry[3]:S,17376
clk_ibuf/U0/U_IOINFF:A,
clk_ibuf/U0/U_IOINFF:Y,
q_obuf[22]/U0/U_IOOUTFF:A,9139
q_obuf[22]/U0/U_IOOUTFF:Y,9139
q_obuf[10]/U0/U_IOPAD:D,9139
q_obuf[10]/U0/U_IOPAD:E,
q_obuf[10]/U0/U_IOPAD:PAD,9139
q_obuf[0]/U0/U_IOPAD:D,9131
q_obuf[0]/U0/U_IOPAD:E,
q_obuf[0]/U0/U_IOPAD:PAD,9131
Q_cry[1]:B,17023
Q_cry[1]:FCI,16996
Q_cry[1]:FCO,16996
Q_cry[1]:S,17422
q_obuf[11]/U0/U_IOOUTFF:A,9139
q_obuf[11]/U0/U_IOOUTFF:Y,9139
Q[14]:ALn,19447
Q[14]:CLK,9139
Q[14]:D,17167
Q[14]:Q,9139
q_obuf[14]/U0/U_IOPAD:D,9139
q_obuf[14]/U0/U_IOPAD:E,
q_obuf[14]/U0/U_IOPAD:PAD,9139
q_obuf[3]/U0/U_IOENFF:A,
q_obuf[3]/U0/U_IOENFF:Y,
q_obuf[1]/U0/U_IOPAD:D,9139
q_obuf[1]/U0/U_IOPAD:E,
q_obuf[1]/U0/U_IOPAD:PAD,9139
Q_cry[12]:B,17232
Q_cry[12]:FCI,16996
Q_cry[12]:FCO,16996
Q_cry[12]:S,17205
q_obuf[8]/U0/U_IOPAD:D,9139
q_obuf[8]/U0/U_IOPAD:E,
q_obuf[8]/U0/U_IOPAD:PAD,9139
Q_cry[18]:B,17346
Q_cry[18]:FCI,16996
Q_cry[18]:FCO,16996
Q_cry[18]:S,17091
TC_obuf/U0/U_IOENFF:A,
TC_obuf/U0/U_IOENFF:Y,
q_obuf[8]/U0/U_IOENFF:A,
q_obuf[8]/U0/U_IOENFF:Y,
q_obuf[2]/U0/U_IOPAD:D,9139
q_obuf[2]/U0/U_IOPAD:E,
q_obuf[2]/U0/U_IOPAD:PAD,9139
q_obuf[4]/U0/U_IOPAD:D,9139
q_obuf[4]/U0/U_IOPAD:E,
q_obuf[4]/U0/U_IOPAD:PAD,9139
q_obuf[5]/U0/U_IOPAD:D,9139
q_obuf[5]/U0/U_IOPAD:E,
q_obuf[5]/U0/U_IOPAD:PAD,9139
Q[9]:ALn,19447
Q[9]:CLK,9139
Q[9]:D,17262
Q[9]:Q,9139
Q_cry[7]:B,17137
Q_cry[7]:FCI,16996
Q_cry[7]:FCO,16996
Q_cry[7]:S,17300
Q_cry[10]:B,17194
Q_cry[10]:FCI,16996
Q_cry[10]:FCO,16996
Q_cry[10]:S,17243
q_obuf[18]/U0/U_IOENFF:A,
q_obuf[18]/U0/U_IOENFF:Y,
