pin,slack
count_obuf[0]/U0/U_IOENFF:A,
count_obuf[0]/U0/U_IOENFF:Y,
count_Z[1]:ALn,11693
count_Z[1]:CLK,37319
count_Z[1]:D,37414
count_Z[1]:EN,13306
count_Z[1]:Q,37319
U0/state[1]:ALn,11693
U0/state[1]:CLK,37494
U0/state[1]:D,37439
U0/state[1]:Q,37494
U0/data_out[0]:ALn,11693
U0/data_out[0]:CLK,11002
U0/data_out[0]:D,11380
U0/data_out[0]:EN,37334
U0/data_out[0]:Q,11002
count_obuf[6]/U0/U_IOPAD:D,
count_obuf[6]/U0/U_IOPAD:E,
count_obuf[6]/U0/U_IOPAD:PAD,
U1/data_out[0]:ALn,25027
U1/data_out[0]:CLK,25336
U1/data_out[0]:D,11002
U1/data_out[0]:EN,24104
U1/data_out[0]:Q,25336
U0/data_out_5[0]:A,11380
U0/data_out_5[0]:B,37546
U0/data_out_5[0]:Y,11380
ack_source:ALn,11693
ack_source:CLK,36471
ack_source:D,38669
ack_source:Q,36471
U1/transfer_enable:ALn,25027
U1/transfer_enable:CLK,24085
U1/transfer_enable:D,24144
U1/transfer_enable:EN,24062
U1/transfer_enable:Q,24085
Dout_obuf[5]/U0/U_IOENFF:A,
Dout_obuf[5]/U0/U_IOENFF:Y,
U1/data_out_4[0]:A,11002
U1/data_out_4[0]:B,23045
U1/data_out_4[0]:Y,11002
clkB_ibuf/U0/U_IOPAD:PAD,
clkB_ibuf/U0/U_IOPAD:Y,
U1/data_out_4[4]:A,11002
U1/data_out_4[4]:B,23045
U1/data_out_4[4]:Y,11002
count_cry[2]:B,37338
count_cry[2]:FCI,37292
count_cry[2]:FCO,37292
count_cry[2]:S,37387
Dout_obuf[0]/U0/U_IOOUTFF:A,16814
Dout_obuf[0]/U0/U_IOOUTFF:Y,16814
enable_ibuf/U0/U_IOPAD:PAD,11380
enable_ibuf/U0/U_IOPAD:Y,11380
U0/data_out_5[4]:A,11380
U0/data_out_5[4]:B,37554
U0/data_out_5[4]:Y,11380
reset_ibuf/U0/U_IOPAD:PAD,11693
reset_ibuf/U0/U_IOPAD:Y,11693
Dout_obuf[6]/U0/U_IOOUTFF:A,16814
Dout_obuf[6]/U0/U_IOOUTFF:Y,16814
U0/data_out[2]:ALn,11693
U0/data_out[2]:CLK,11002
