pin,slack
count_obuf[0]/U0/U_IOENFF:A,
count_obuf[0]/U0/U_IOENFF:Y,
count_Z[1]:ALn,1694
count_Z[1]:CLK,23986
count_Z[1]:D,24081
count_Z[1]:EN,3307
count_Z[1]:Q,23986
U0/state[1]:ALn,1694
U0/state[1]:CLK,24161
U0/state[1]:D,24106
U0/state[1]:Q,24161
U0/data_out[0]:ALn,1694
U0/data_out[0]:CLK,997
U0/data_out[0]:D,1381
U0/data_out[0]:EN,24001
U0/data_out[0]:Q,997
count_obuf[6]/U0/U_IOPAD:D,
count_obuf[6]/U0/U_IOPAD:E,
count_obuf[6]/U0/U_IOPAD:PAD,
U1/data_out[0]:ALn,48360
U1/data_out[0]:CLK,48669
U1/data_out[0]:D,997
U1/data_out[0]:EN,47437
U1/data_out[0]:Q,48669
U0/data_out_5[0]:A,1381
U0/data_out_5[0]:B,24213
U0/data_out_5[0]:Y,1381
ack_source:ALn,1694
ack_source:CLK,23138
ack_source:D,25336
ack_source:Q,23138
U1/transfer_enable:ALn,48360
U1/transfer_enable:CLK,47418
U1/transfer_enable:D,47477
U1/transfer_enable:EN,47395
U1/transfer_enable:Q,47418
Dout_obuf[5]/U0/U_IOENFF:A,
Dout_obuf[5]/U0/U_IOENFF:Y,
U1/data_out_4[0]:A,997
U1/data_out_4[0]:B,46378
U1/data_out_4[0]:Y,997
clkB_ibuf/U0/U_IOPAD:PAD,
clkB_ibuf/U0/U_IOPAD:Y,
U1/data_out_4[4]:A,997
U1/data_out_4[4]:B,46378
U1/data_out_4[4]:Y,997
count_cry[2]:B,24005
count_cry[2]:FCI,23959
count_cry[2]:FCO,23959
count_cry[2]:S,24054
Dout_obuf[0]/U0/U_IOOUTFF:A,40147
Dout_obuf[0]/U0/U_IOOUTFF:Y,40147
enable_ibuf/U0/U_IOPAD:PAD,1381
enable_ibuf/U0/U_IOPAD:Y,1381
U0/data_out_5[4]:A,1381
U0/data_out_5[4]:B,24221
U0/data_out_5[4]:Y,1381
reset_ibuf/U0/U_IOPAD:PAD,1694
reset_ibuf/U0/U_IOPAD:Y,1694
Dout_obuf[6]/U0/U_IOOUTFF:A,40147
Dout_obuf[6]/U0/U_IOOUTFF:Y,40147
U0/data_out[2]:ALn,1694
U0/data_out[2]:CLK,997
